id,name,rating,north_indian,south_indian,chinese,italian,mughlai,price,distance,opening_time,closing_time,wi-fi,parking
1,Checkers Pizza,4.1,0,0,0,1,1,200,5.8,11:00,23:00,1,1
2,AL-Baik Zone,4,0,0,0,1,1,150,6.1,10:00,22:00,1,1
3,Delight Muffins,4.1,0,0,0,1,0,150,2.8,11:00,23:00,1,0
4,Pizza Club 99,3.5,0,0,0,1,0,150,3.5,9:00,20:00,1,1
5,Albaik Chicken,3.7,0,0,1,1,1,150,4,7:00,20:00,1,1
6,Haldiram Bhujiawala,3.8,1,1,0,1,0,150,9.8,8:00,23:30,0,0
7,Kalptaru Bakery,3.9,1,1,1,1,0,150,6,9:30,21:30,0,0
8,Rockk Onn,3.7,1,1,1,1,1,175,0.5,8:00,23:00,0,0
9,Vintage Kitchen,3.6,1,0,1,0,1,150,6,10:00,22:00,1,1
10,Karn's Restaurant,3.5,1,1,1,1,0,150,3.3,9:00,22:30,1,0
11, Kathi  Junction,3.8,0,0,1,0,1,70,3.5,8:00,21:00,0,0
12,Gourmet Restaurant,3.7,1,0,1,1,1,150,4.2,11:00,23:00,1,1
13,Parathe Wali Gali,4.2,1,0,0,0,0,50,6.7,8:00,20:00,1,1
14,Nalanda Hotel,3.5,1,0,0,0,0,150,7.9,9:00,21:00,0,0
15,Kohinoor Rstaurant,4.2,1,0,1,1,1,150,9.2,10:30,21:00,1,0
16,Shree Ganesh Sweets,3.9,1,0,0,0,0,100,3.6,10:00,22:00,0,0
17,Tiara Restro,4.5,1,0,1,0,1,200,10,9:00,21:00,1,1
18,Shri Ram Bhojnalaya,4.3,1,0,0,0,0,100,10,8:30,20:30,0,0
19,Allahabad Kabab Paratha,4.1,1,0,0,0,1,100,6.7,9:30,21:30,0,0
20,Eat on ,4.2,0,0,0,0,1,70,7,8:30,22:00,0,0
21,Muskan Pizza Point,4,0,0,0,1,0,100,3.5,10:00,21:00,1,0
22,Saawariya Food Court,3.8,1,1,0,1,0,150,3.4,10:00,22:00,1,0
23,Punjabi Sweets,3.9,1,0,0,0,0,100,5.2,9:00,21:00,0,0
24,A Taste Of Paris,3.4,0,0,0,1,0,100,2.6,10:30,21:30,1,1
25,Hotel Dev Restaurant,3.8,1,0,0,1,0,150,5.3,8:00,20:00,1,1
26,Sheetal Restaurant,3.8,0,0,1,0,0,50,3.2,9:00,21:00,1,0
27,Kolkata Bites,3.8,1,0,0,0,0,100,3.8,8:30,20:30,1,0
28,Hotel Narula,3.9,1,0,1,0,0,100,4,11:00,23:00,1,1
29,Hotel Rao Estate,3.5,1,0,1,1,0,150,6.6,9:00,22:00,1,1
30,Sun View,3.8,0,0,0,0,1,150,5.2,10:00,23:00,1,1
31,Behrouz Biryani,4.2,0,0,0,0,1,200,4,9:30,22:30,1,0
32,Homms,4.3,0,0,1,0,0,150,4.3,8:30,21:00,1,0
33,Agraharam Meal,3.7,1,1,0,0,0,150,4,8:00,23:00,1,1
34,Siddique kabab Centre,3.8,0,0,1,0,1,250,4.1,9:00,21:00,0,0
35,Hyderabadi Handi Biryani,3.7,0,0,0,0,1,200,3.7,9:30,23:00,0,0
36,D'Brooks,4,1,0,0,0,1,200,4.3,8:00,20:00,1,1
37,Lion King,4,0,0,1,0,0,200,3.8,10:00,22:00,0,0
38,Spicy Khana Point,3.1,1,0,1,0,1,200,3.8,9:30,21:00,0,0
39,Momo Chinese Cafe,3.6,0,0,1,0,0,100,4,8:30,20:30,1,0
40,R R Noodles Express,3.5,0,0,1,0,0,150,3.2,8:00,20:00,0,0
41,Bebo's kitchen,3.6,1,0,1,0,1,150,3.7,9:00,21:00,0,0
42,Route o Bakers,3.7,0,0,0,1,0,125,9,9:00,21:00,1,1
43,Zaika Pizza Point,3.7,0,1,0,1,0,150,11.2,10:00,22:00,0,0
44,Manya Family Restaurant,3.9,0,1,1,0,0,100,6.4,10:30,22:30,1,1
45,Foodholic Banaras,3.5,0,1,1,0,0,75,7.5,8:30,20:30,1,0
46,Taste king,4.2,1,0,1,0,0,150,6.7,9:00,21:00,0,0
47,Guru Kripa Bhojnalaya,2.5,1,0,0,0,0,100,4.4,8:00,20:00,0,0
48,Vilayat Cafe Lounge &Restro,3.2,1,0,1,0,0,100,12.2,8:30,20:30,1,1
49,Giza Family Restaurant,3.2,1,0,0,0,1,100,7.2,9:30,21:30,1,1
50,The Big Chilli,3.9,1,0,1,0,1,175,5.4,10:00,22:00,1,0
51,Tasty Bites Restaurant,3.5,0,0,1,0,1,75,2,9:30,21:00,0,0
52,Best Bakery,3.5,0,0,0,1,0,100,5,8:00,20:00,1,0
53,Al Fresco,3.6,1,0,1,0,1,150,7,9:00,21:00,1,1
54,Mohit Foods,3.8,0,0,1,1,0,75,5.6,8:30,20:30,0,0
55,Ansh Confectionary,3,1,1,1,1,0,50,5.7,9:30,21:30,0,0
56,KFC,4.5,0,0,0,1,1,200,7.2,9:00,22:00,1,1
57,Courtyard Resaturant,2.8,1,0,1,0,1,100,0.8,8:00,20:00,1,1
58,Gupta Misthan Bhandar,3.9,1,0,0,0,0,100,5,8:30,20:30,0,0
59,Shree Om Shiv Sweet & Restaurant,2.8,1,0,0,0,0,50,5.6,9:30,21:30,0,0
60,Pizza Fire In,3.7,0,0,0,1,0,150,3.8,11:00,23:00,1,0
61,Empire Restaurant,3.5,1,1,0,0,1,200,3.5,8:30,20:30,1,0
62,Imperio Restaurant,4.2,1,0,0,0,1,400,4,9:00,21:00,1,1
63,Sri Udupi Park,3.8,0,1,0,1,0,200,3,10:00,23:00,1,1
64,Udupi Grand Veg,3,0,1,0,0,0,200,2.3,9:30,21:30,1,1
65,Nizam's Biryani House,3.8,0,0,0,0,1,300,3.2,10:30,21:30,1,1
66,Rajwadi,4,1,0,0,0,0,200,4,9:00,21:00,1,1
67,Maria Taste Circle,3.9,1,1,1,0,0,250,2.8,8:30,20:30,0,0
68,Kaafi Desi,4,1,0,0,0,0,100,3.2,10:00,22:00,1,1
69,Adyar Ananda Bhavan,3.8,0,1,0,0,0,100,3.3,9:00,21:00,1,1
70,Erivum Puliyum,3.9,0,1,0,0,1,200,3.6,8:00,20:30,1,1
71,Bistro B2,1,1,1,0,1,0,200,4.2,9:30,22:00,1,1
72,Sandesh Sweet and Restaurant,0,1,1,0,1,0,250,3.9,8:30,21:00,1,0
73,Sunrise Food And Shoope,1,1,1,0,0,0,250,7.1,9:00,21:00,0,0
74,Ginger Fast Food,1,1,1,0,0,1,125,4.5,8:00,20:00,0,0
75,Sagar Ratna,4,1,1,1,0,1,150,10,9:00,21:00,1,1
76,Partho's Restaurant,3.8,1,0,1,0,0,200,6.5,8:30,22:30,1,0
77,Hindustan Family Restaurant,1,0,1,1,1,0,200,3.2,8:00,20:00,0,1
78,Crood Square,3.8,1,0,0,1,1,150,9.3,9:30,21:30,1,1
79,The Mint Leaf,3.9,1,1,1,0,1,150,5.7,10:00,22:00,1,0
80,BSB Locals,4,1,0,1,0,1,150,6.5,8:30,21:00,0,1
81,Rahil Restaurant,4,1,1,1,0,0,200,4.3,9:00,21:00,0,1
82,City Pleasantry,3.8,0,0,1,1,0,100,8.2,9:30,22:30,0,1
83,Bikanervala,4.1,1,1,0,0,0,250,7.2,10:00,22:30,0,0
84,Apna Fast Food corner,3.8,1,0,1,0,0,125,5.1,10:00,21:00,0,0
85,Cafebility,3.9,1,0,1,1,0,200,4.3,9:30,21:00,1,0
86,Saffron Veg Restaurant,4.1,1,1,0,0,0,175,5.6,9:00,21:00,0,0
87,Zeenat Restaurant,4,1,0,0,1,0,300,6.5,9:00,21:00,0,0
88,Shahi Daya Restaurant,4.1,1,1,1,0,0,300,3.9,10:00,22:00,1,1
89,Meenu Sweets & Restaurant,3.7,1,1,1,0,0,125,4.4,10:00,22:00,0,0
90,Hotel Kalika,3.8,1,1,0,0,1,150,5.6,9:30,21:30,1,1